Depth,Exp
0.0013704,b
0.0014934,b
0.0015657,b
0.0015589,b
0.0015799,b
0.0015822,b
0.0015537,b
0.0015539,b
0.001554,b
0.0015564,b
0.001632,b
0.0016987,b
0.001728,b
0.001723,b
0.0017119,b
0.0017171,b
0.0017099,b
0.0017161,b
0.0017324,b
0.0017085,b
0.001696,b
0.0017017,b
0.0016908,b
0.0017483,b
0.0017941,b
0.0017895,b
0.001794,b
0.0017311,b
0.0017096,b
0.001736,b
0.0017107,b
0.0017021,b
0.0017203,b
0.0017064,b
0.0017265,b
0.0018069,b
0.001826,b
0.0018446,b
0.0018244,b
0.0017405,b
0.0016989,b
0.0016546,b
0.0015796,b
0.0016023,b
0.0017146,b
0.0017806,b
0.0018073,b
0.0017649,b
0.0017369,b
0.0017679,b
0.0017798,b
0.0017733,b
0.0017849,b
0.0018592,b
0.001941,b
0.0019743,b
0.0019385,b
0.0018941,b
0.0018499,b
0.0017638,b
0.001727,b
0.0017976,b
0.001845,b
0.0018301,b
0.0018225,b
0.0018265,b
0.0018481,b
0.0018676,b
0.0018913,b
0.0018802,b
0.0018749,b
0.0018724,b
0.0018371,b
0.0017993,b
0.0017712,b
0.001747,b
0.0017255,b
0.0017332,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0.002044,b
0.0021164,b
0.0020949,b
0.0019907,b
0.0018924,b
0.0018973,b
0.0019021,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0.00035089,b
0.00030537,b
0.0003127,b
0.00036782,b
0.00040044,b
0.00045164,b
0.00053841,b
0.0006467,b
0.00077284,b
0.00088554,b
0.0010306,b
0.0012479,b
0.0014053,b
0.001464,b
0.001451,b
0.0014869,b
0.0016139,b
0.0017511,b
0.0019007,b
0.0020179,b
0.002068,b
0.0020859,b
0.0021328,b
0.0021578,b
0.0021209,b
0.0020824,b
0.0020318,b
0.0019725,b
0.0018949,b
0.0018521,b
0.001872,b
0.0019139,b
0.0019751,b
0.0020233,b
0.0020637,b
0.0020985,b
0.0021186,b
0.0021288,b
0.0021016,b
0.0020321,b
0.0020355,b
0.0020968,b
0.0020975,b
0.0020687,b
0.002083,b
0.0021923,b
0.0023168,b
0.0023614,b
0.0023446,b
0.0023229,b
0.0022994,b
0.0022732,b
0.0021936,b
0.0021365,b
0.0021603,b
0.0021546,b
0.0021304,b
0.0021172,b
0.0021375,b
0.0021712,b
0.0021766,b
0.0022221,b
0.0022713,b
0.0022764,b
0.0022715,b
0.0022319,b
0.0022073,b
0.0021903,b
0.0021087,b
0.0020534,b
0.0020589,b
0.0020428,b
0.0020356,b
0.0020374,b
0.002054,b
0.0020594,b
0.002046,b
0.0020861,b
0.002125,b
0.0021122,b
0.0020417,b
0.0019867,b
0.0019581,b
0.0018988,b
0.0018327,b
0.0017625,b
0.0017267,b
0.0017239,b
0.0017934,b
0.0018452,b
0.0018684,b
0.0018978,b
0.0019085,b
0.0019507,b
0.0019467,b
0.0019029,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0.0020065,b
0.0020193,b
0.0020465,b
0.0020681,b
0.0022037,b
0.0022945,b
0.0022303,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0,b
0.00066286,b
0.00058566,b
0.00052355,b
0.00049788,b
0.00050537,b
0.00049221,b
0.00047126,b
0.0004591,b
0.0004404,b
0.00042281,b
0.00047043,b
0.00049403,b
0.00046808,b
0.00058892,b
0.00073447,b
0.00078695,b
0.00084885,b
0.0010144,b
0.0012764,b
0.0014327,b
0.0015159,b
0.0015981,b
0.0017021,b
0.0018262,b
0.0019071,b
0.001977,b
0.0019889,b
0.0019443,b
0.0018871,b
0.0018277,b
0.0018274,b
0.0018392,b
0.0018535,b
0.0018405,b
0.0018373,b
0.0018602,b
0.001786,b
0.0017454,b
0.001738,b
0.0017263,b
0.0017744,b
0.0017979,b
0.0018018,b
0.0017846,b
0.0017571,b
0.0017377,b
0.0016931,b
