Depth,Exp
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0.0023611,d
0.0026969,d
0.0029538,d
0.0031174,d
0.0032061,d
0.0032495,d
0.0032782,d
0.0033012,d
0.0033607,d
0.003458,d
0.0035041,d
0.0035122,d
0.0035003,d
0.0035097,d
0.0035745,d
0.0036167,d
0.0036652,d
0.0036729,d
0.0036479,d
0.0036123,d
0.0035723,d
0.0035781,d
0.0035886,d
0.0035867,d
0.0035759,d
0.0035342,d
0.0034958,d
0.0034804,d
0.0035157,d
0.0034877,d
0.0034661,d
0.0034966,d
0.00348,d
0.0034693,d
0.0034573,d
0.0034681,d
0.003457,d
0.0034435,d
0.0034659,d
0.0034543,d
0.0034107,d
0.0033947,d
0.003445,d
0.003516,d
0.0035308,d
0.0035209,d
0.0035208,d
0.0035245,d
0.0035416,d
0.0035213,d
0.0034684,d
0.0034458,d
0.0034238,d
0.0034323,d
0.0034562,d
0.0034534,d
0.0034696,d
0.0034107,d
0.003324,d
0.003347,d
0.0033451,d
0.0033339,d
0.0033893,d
0.003439,d
0.0034961,d
0.0035389,d
0.003532,d
0.0035234,d
0.0035125,d
0.0034311,d
0.0033612,d
0.0033569,d
0.0033963,d
0.0034338,d
0.0034604,d
0.0034849,d
0.0034823,d
0.0034809,d
0.0034281,d
0.0033977,d
0.0034232,d
0.0034437,d
0.003438,d
0.0034306,d
0.0034302,d
0.0032946,d
0.0030791,d
0.0029422,d
0.0026445,d
0.0023636,d
0.0022063,d
0.0020924,d
0.0019436,d
0.0016602,d
0.0015,d
0.001334,d
0.001065,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0.00042559,d
0,d
0.00066351,d
0.00071521,d
0.00070836,d
0.00075636,d
0.0010112,d
0.0012951,d
0.0014459,d
0.0015455,d
0.0017699,d
0.002118,d
0.002293,d
0.0024365,d
0.002669,d
0.0029146,d
0.0032476,d
0.0033789,d
0.0033477,d
0.0033916,d
0.0035322,d
0.0037219,d
0.0038532,d
0.0039497,d
0.0040555,d
0.0041421,d
0.0041601,d
0.0041685,d
0.0041683,d
0.0041473,d
0.0041474,d
0.0041863,d
0.0042405,d
0.0042903,d
0.0042826,d
0.0042193,d
0.0041969,d
0.0041884,d
0.0041224,d
0.0040869,d
0.0041229,d
0.0041067,d
0.0040849,d
0.0040954,d
0.0040889,d
0.0040726,d
0.0040637,d
0.0040323,d
0.0039825,d
0.0039998,d
0.0040411,d
0.0039983,d
0.0039866,d
0.0039954,d
0.0039483,d
0.0039263,d
0.0038867,d
0.003881,d
0.0038876,d
0.0038857,d
0.0040252,d
0.0041321,d
0.0041264,d
0.0041376,d
0.0041094,d
0.0040704,d
0.0040798,d
0.0041297,d
0.0041542,d
0.0041533,d
0.0041321,d
0.0041326,d
0.0041309,d
0.0040425,d
0.0040003,d
0.0039821,d
0.0039307,d
0.0039423,d
0.0040008,d
0.0040089,d
0.0040305,d
0.004077,d
0.0040889,d
0.0040936,d
0.0040715,d
0.0040183,d
0.0039654,d
0.0039884,d
0.0040256,d
0.0040326,d
0.0040702,d
0.0041226,d
0.0041232,d
0.0040162,d
0.0039525,d
0,d
0,d
0,d
0,d
0,d
0,d
0.0036584,d
0.0036942,d
0.0036697,d
0.0033781,d
0.0031241,d
0.0029534,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0.00018498,d
0.00017932,d
0.00020972,d
0.00016337,d
9.04E-05,d
9.48E-05,d
9.75E-05,d
0.00014725,d
0.0002937,d
0.00049853,d
0.00072003,d
0.0007718,d
0.00092425,d
0.0012135,d
0.0013955,d
0.0014572,d
0.0016151,d
0.0019154,d
0.002044,d
0.0021663,d
0.0023915,d
0.002646,d
0.002888,d
0.0030976,d
0.0032233,d
0.0032747,d
0.0033675,d
0.0034821,d
0.0036101,d
0.0036812,d
0.0037198,d
0.0037623,d
0.0037642,d
0.0037888,d
0.0037882,d
0.0037982,d
0.0039116,d
0.0039521,d
0.0039314,d
0.0039579,d
0.0039634,d
0.0040224,d
0.0040833,d
0.0040546,d
0.0040938,d
0.0041712,d
0.0041528,d
0.0041397,d
0.0041364,d
0.0041196,d
0.004134,d
0.0041174,d
0.0041134,d
0.0041014,d
0.0040947,d
0.004171,d
0.0042139,d
0.0041447,d
0.0041038,d
0.0041724,d
0.0041903,d
0.0041835,d
0.0041899,d
0.004232,d
0.0042334,d
0.0041387,d
0.0041613,d
0.0042018,d
0.0041821,d
0.0041642,d
0.0041143,d
0.0040933,d
0.0041254,d
0.0041842,d
0.0042187,d
0.0042135,d
0.0042212,d
0.0042431,d
0.0042385,d
0.0042053,d
0.004204,d
0.0041951,d
0.0041468,d
0.0041259,d
0.0041233,d
0.0040956,d
0.0040475,d
0.0040045,d
0.0039823,d
0.0039668,d
0.0040002,d
0.0040252,d
0.0039851,d
0.0039855,d
0.0040155,d
0.0039818,d
0.0039699,d
0,d
0,d
0,d
0,d
0.0039829,d
0.0040213,d
0.0040211,d
0.0040099,d
0.0039962,d
0.003936,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0.00023279,d
0.00022619,d
0.00019921,d
0.00015933,d
0.00014274,d
0.00015614,d
0.00018543,d
0.00016932,d
0.00013759,d
0.00012962,d
0.0001169,d
0.00012986,d
0.00010663,d
0.00012666,d
0.00028568,d
0.00043048,d
0.00057866,d
0.000748,d
0.0010078,d
0.0012826,d
0.0013831,d
0.0013949,d
0.0016257,d
0.0018895,d
0.0019695,d
0.0021464,d
0.0024386,d
0.0027822,d
0.0030394,d
0.0031354,d
0.003213,d
0.0033547,d
0.0035548,d
0.0037731,d
0.0038677,d
0.0039204,d
0.0040051,d
0.0040094,d
0.0039854,d
0.0039776,d
0.0040323,d
0.0040831,d
0.0040868,d
0.0041308,d
0.004139,d
0.0041138,d
0.0040676,d
0.0040102,d
0.0039763,d
0.0039238,d
0.0038672,d
0.0038343,d
0.0038634,d
0.003868,d
0.0038484,d
0.0038986,d
0.0039222,d
0.003891,d
0.0038634,d
0.0038374,d
0.0038523,d
0.0038676,d
0.0038065,d
0.0037715,d
0.0037828,d
0.0037593,d
0.0037384,d
0.0037967,d
0.0038552,d
0.0038641,d
0.0038931,d
0.0039503,d
0.0040166,d
0.0040692,d
0.0041134,d
0.0041832,d
0.0042596,d
0.0042774,d
0.0042467,d
0.0042466,d
0.0042446,d
0.004231,d
0.0042409,d
0.0042345,d
0.0041898,d
0.004197,d
0.0042514,d
0.004261,d
0.0042824,d
0.0042794,d
0.0042556,d
0.0042888,d
0.004309,d
0.0043101,d
0.0043225,d
0.0043756,d
0.0044378,d
0,d
0.004509,d
0,d
0.0044956,d
0.0045007,d
0.0044351,d
0.0044028,d
0.004387,d
0.0044311,d
0.004554,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
-5.10E-05,d
-6.17E-05,d
-1.79E-07,d
9.91E-05,d
0.00029074,d
0.0004814,d
0.00062623,d
0.00069342,d
0.00088943,d
0.0011309,d
0.0012517,d
0.0013045,d
0.001535,d
0.0020025,d
0.0022605,d
0.0025241,d
0.00288,d
0.0032469,d
0.0036101,d
0.0038011,d
0.0038632,d
0.0039684,d
0.0041798,d
0.0043668,d
0.0044911,d
0.0045824,d
0.004665,d
0.0047413,d
0.0047431,d
0.0047298,d
0.00475,d
0.0047286,d
0.0046604,d
0.0045706,d
0.0045002,d
0.0044755,d
0.0044775,d
0.0044606,d
0.0044426,d
0.004487,d
0.0045101,d
0.0045261,d
0.0045492,d
0.0044898,d
0.0044143,d
0.0044206,d
0.0044431,d
0.0044025,d
0.004365,d
0.004333,d
0.0042929,d
0.0042692,d
0.0042242,d
0.0041963,d
0.0042355,d
0.004211,d
0.0041252,d
0.0041133,d
0.0041679,d
0.0042096,d
0.0042194,d
0.0042162,d
0.0042067,d
0.0042302,d
0.0042832,d
0.0043275,d
0.004396,d
0.0044542,d
0.0044118,d
0.0043405,d
0.0043121,d
0.0043269,d
0.0043434,d
0.0043416,d
0.0043718,d
0.0044052,d
0.0044024,d
0.0043768,d
0.0043916,d
0.0043824,d
0.0043456,d
0.0043316,d
0.0043365,d
0.0043806,d
0,d
0.0044581,d
0.0045032,d
0.0044909,d
0.0044816,d
0.0045198,d
0.0045415,d
0.0045624,d
0.0045654,d
0.004571,d
0.0045657,d
0.0044984,d
0.0044138,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0.00014726,d
0.00011787,d
0.00013992,d
0.00019309,d
0.00021875,d
0.00027831,d
0.00035509,d
0.00054065,d
0.00092251,d
0.0012099,d
0.0012307,d
0.0012935,d
0.0016186,d
0.0018796,d
0.0020828,d
0.0024058,d
0.0027371,d
0.0030766,d
0.0033022,d
0.0033389,d
0.0034239,d
0.0036139,d
0.0037635,d
0.0038964,d
0.0040083,d
0.0041099,d
0.0041354,d
0.0041218,d
0.0041522,d
0.004164,d
0.0042051,d
0.0042037,d
0.0041944,d
0.0041788,d
0.0041395,d
0.0041801,d
0.0042213,d
0.0042315,d
0.0042181,d
0.0042163,d
0.0042022,d
0.0041769,d
0.0041834,d
0.0042488,d
0.0042932,d
0.004278,d
0.004302,d
0.0043386,d
0.0043474,d
0.0043786,d
0.0043066,d
0.0041649,d
0.0040973,d
0.0040718,d
0.004043,d
0.0040479,d
0.0040793,d
0.004094,d
0.0041224,d
0.0041285,d
0.0040878,d
0.0041157,d
0.0041951,d
0.0041859,d
0.0041982,d
0.0042762,d
0.0043301,d
0.0043329,d
0.0043596,d
0.0043946,d
0.0043787,d
0.0043872,d
0.0043652,d
0.004335,d
0.0043132,d
0.0042597,d
0.0042509,d
0.0042541,d
0.0042397,d
0.0042335,d
0.0042184,d
0.0042068,d
0.0041816,d
0,d
0.0041805,d
0.0042037,d
0.0042203,d
0.0042738,d
0.0042977,d
0.0042344,d
0.0041641,d
0.0041449,d
0.0041481,d
0.0041204,d
0.004129,d
0.0041608,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
-1.22E-05,d
0,d
6.60E-06,d
0,d
-1.98E-05,d
-5.86E-05,d
-2.73E-05,d
2.98E-05,d
1.98E-05,d
0,d
8.77E-05,d
0,d
6.37E-05,d
3.18E-05,d
2.76E-05,d
9.12E-05,d
0.00022129,d
0.00035299,d
0.00048339,d
0.00056048,d
0.00085871,d
0.0012523,d
0.0013802,d
0.0013922,d
0.0015463,d
0.0018463,d
0.0019314,d
0.0020347,d
0.002268,d
0.0026115,d
0.0029642,d
0.0031484,d
0.0033726,d
0.0035903,d
0.0037715,d
0.0039703,d
0.0040958,d
0.0041565,d
0.0041747,d
0.0041965,d
0.0042363,d
0.0042517,d
0.004265,d
0.0042149,d
0.0041566,d
0.0041816,d
0.004192,d
0.0041524,d
0.004173,d
0.0042155,d
0.0042033,d
0.004239,d
0.0043052,d
0.0042987,d
0.0042812,d
0.0042936,d
0.0043213,d
0.0043302,d
0.0042964,d
0.0043094,d
0.0043219,d
0.0043319,d
0.0043212,d
0.0043313,d
0.004366,d
0.0043953,d
0.0044069,d
0.0043695,d
0.0043542,d
0.0043818,d
0.004371,d
0.0042952,d
0.0042441,d
0.0042418,d
0.0042313,d
0.0042347,d
0.0042628,d
0.0042975,d
0.0043263,d
0.0043495,d
0.0043896,d
0.0043917,d
0.0043833,d
0.0043851,d
0.0043584,d
0.0043058,d
0.0042708,d
0.0042664,d
0.0043059,d
0.0043254,d
0.0042894,d
0.0042595,d
0.0042267,d
0.0042251,d
0.0042438,d
0.0042076,d
0,d
0.0041745,d
0,d
0.0041487,d
0.0041525,d
0.0041862,d
0.0042259,d
0.0042334,d
0.0042385,d
0.0042358,d
0.0041747,d
0.0041355,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
0,d
