Depth,Exp
-0.00098476,c
-0.0009058,c
-0.00081864,c
-0.00073419,c
-0.0006398,c
-0.0005522,c
-0.00046343,c
-0.00038596,c
-0.00027941,c
-0.00014279,c
-4.70E-06,c
0.00013462,c
0.00015274,c
0.00017637,c
0.00025543,c
0.00025592,c
0.00026349,c
0.00028522,c
0.00035699,c
0.00042763,c
0.00041817,c
0.00042841,c
0.00044918,c
0.00044653,c
0.00046961,c
0.00045956,c
0.00040968,c
0.00035907,c
0.00032834,c
0.00034606,c
0.00033383,c
0.00030012,c
0.00030019,c
0.00033111,c
0.00037051,c
0.00037829,c
0.00034744,c
0.00029769,c
0.00028402,c
0.00029797,c
0.00030688,c
0.00028856,c
0.00027595,c
0.0003048,c
0.00028393,c
0.00023956,c
0.00024244,c
0.00027458,c
0.00031232,c
0.00030622,c
0.00026918,c
0.00026144,c
0.00027248,c
0.0002931,c
0.00033399,c
0.00034885,c
0.00034771,c
0.00033467,c
0.00028848,c
0.00026739,c
0.00026697,c
0.0002707,c
0.00029358,c
0.0003055,c
0.00028762,c
0.00027369,c
0.00026594,c
0.00023704,c
0.00021167,c
0.00020467,c
0.00020991,c
0.00024065,c
0.00028566,c
0.00032047,c
0.00033459,c
0.00035521,c
0.00036203,c
0,c
0.00033427,c
0.00027143,c
0.00025618,c
0.00026617,c
0.00025883,c
0.00025906,c
0.00027682,c
0.0002791,c
0.00027646,c
0.00031581,c
0.00031992,c
0.00032087,c
0.00025183,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
0,c
-0.00062868,c
-0.00054921,c
-0.00052504,c
-0.0006075,c
-0.00077625,c
-0.00092502,c
-0.0010107,c
-0.0011187,c
-0.0011464,c
-0.0010673,c
-0.00099665,c
-0.00091733,c
-0.00082561,c
-0.00072922,c
-0.00061036,c
-0.00053072,c
-0.00042353,c
-0.00029796,c
-0.00023407,c
-0.0001688,c
-9.06E-05,c
-2.58E-05,c
4.45E-06,c
3.62E-05,c
0.00011799,c
0.0002234,c
0.00026149,c
0.0003103,c
0.0003752,c
0.00037385,c
0.000384,c
0.00038362,c
0.00041383,c
0.00047464,c
0.00047826,c
0.00050312,c
0.00050032,c
0.0004626,c
0.00040659,c
0.00031931,c
0.00029988,c
0.00031865,c
0.00030848,c
0.00030153,c
0.00027429,c
0.00024442,c
0.00028102,c
0.00026355,c
0.00021807,c
0.00024129,c
0.0002569,c
0.00026947,c
0.00028652,c
0.00024,c
0.00024791,c
0.00027264,c
0.0002267,c
0.00021635,c
0.00020537,c
0.0001875,c
0.0002125,c
0.00022419,c
0.00022771,c
0.00024683,c
0.00024285,c
0.0002383,c
0.00022885,c
0.00021001,c
0.00023403,c
0.00025957,c
0.00026714,c
0.00027164,c
