Depth,Exp
-0.00066335,a
-0.00040945,a
-1.04E-05,a
0.000305,a
0.00050143,a
0.00070397,a
0.0010836,a
0.0014056,a
0.0015951,a
0.0018393,a
0.002116,a
0.0023724,a
0.0025334,a
0.0027302,a
0.002978,a
0.0030983,a
0.0031315,a
0.0031697,a
0.0033003,a
0.0034361,a
0.0035319,a
0.0036205,a
0.0036609,a
0.0036925,a
0.0037217,a
0.0037325,a
0.0037479,a
0.0037472,a
0.0037247,a
0.0037373,a
0.0037853,a
0.0037804,a
0.0037736,a
0.0037975,a
0.0037901,a
0.0038084,a
0.0038933,a
0.0038897,a
0.0038522,a
0.0038232,a
0.0037924,a
0.0038263,a
0.0038862,a
0.0038952,a
0.0038847,a
0.0039846,a
0.0040346,a
0.0039968,a
0.0040093,a
0.0040578,a
0.0041388,a
0.0041882,a
0.0041874,a
0.004183,a
0.004171,a
0.0041713,a
0.0041228,a
0.0040949,a
0.0041364,a
0.0041731,a
0.0042009,a
0.0042075,a
0.0041932,a
0.0042454,a
0.0042665,a
0.0041881,a
0.0040587,a
0.0039933,a
0.0039572,a
0.0038782,a
0.0038491,a
0.0038219,a
0.0038249,a
0.0038063,a
0.0037296,a
0.0037167,a
0,a
0.0036589,a
0,a
0.0036122,a
0,a
0.0038407,a
0.0038316,a
0.0038542,a
0.0038274,a
0.0037567,a
0.0037482,a
0.0037995,a
0.0037804,a
0.003776,a
0.0037872,a
0.0037676,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
-0.00046775,a
-0.00046309,a
-0.00047479,a
-0.0004377,a
-0.00040057,a
-0.00042385,a
-0.0004567,a
-0.00050267,a
-0.00055918,a
-0.00053868,a
-0.00042284,a
-0.00030592,a
-0.00022283,a
-5.72E-05,a
0.00027893,a
0.00065871,a
0.00094772,a
0.0011915,a
0.0014954,a
0.0018244,a
0.0020424,a
0.0023016,a
0.0026239,a
0.0027727,a
0.0028973,a
0.003152,a
0.0033603,a
0.0034372,a
0.0035133,a
0.0036046,a
0.0036792,a
0.0037726,a
0.003839,a
0.0038592,a
0.0038678,a
0.0039014,a
0.003945,a
0.0039758,a
0.0039607,a
0.0039015,a
0.0038897,a
0.0039364,a
0.0039996,a
0.0040534,a
0.0041121,a
0.0041546,a
0.0041267,a
0.0041342,a
0.0041864,a
0.0042016,a
0.0042056,a
0.0041862,a
0.0041354,a
0.0041414,a
0.0041535,a
0.0041106,a
0.0040844,a
0.0040485,a
0.004044,a
0.0040704,a
0.0040332,a
0.003977,a
0.0040007,a
0.0040556,a
0.0040388,a
0.0040536,a
0.0040955,a
0.0040846,a
0.0040959,a
0.0040948,a
0.0040797,a
0.004124,a
0.0041807,a
0.0042089,a
0.004231,a
0.0042065,a
0.0042077,a
0.0042133,a
0.00421,a
0.0042067,a
0.0041951,a
0.004239,a
0.0042485,a
0.0042006,a
0.0041667,a
0.0042036,a
0.0042255,a
0.0042332,a
0.0041697,a
0.0041131,a
0.0041088,a
0.0041082,a
0.0041408,a
0.0041004,a
0.0040601,a
0.004067,a
0.0040393,a
0.0040187,a
0.0040767,a
0.0040864,a
0.0040967,a
0.0041839,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
-0.00049345,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
0,a
-0.00058278,a
-0.00060175,a
-0.00059614,a
-0.00056425,a
-0.00049937,a
-0.00049823,a
-0.00049533,a
-0.00045436,a
-0.00047969,a
-0.00045444,a
-0.00036658,a
-0.00032115,a
-0.00012892,a
0.00035867,a
0.00081537,a
0.0010322,a
0.0012141,a
0.0015285,a
0.0019172,a
0.0021276,a
0.0022654,a
0.0024873,a
